,TeamID,Season,games,totalMargin,Wins,Losses,Points,FG,FGA,FG3,FGA3,FT,FTA,OR,DR,Ast,To,Stl,Blk,Pf
0,3102.0,2010.0,28,-19.964285714285715,1,27,51.82142857142857,19.142857142857142,53.142857142857146,4.571428571428571,16.071428571428573,8.964285714285714,13.214285714285714,12.464285714285714,19.535714285714285,10.25,17.714285714285715,6.035714285714286,0.6428571428571429,14.964285714285714
0,3103.0,2010.0,30,2.6,17,13,62.233333333333334,22.233333333333334,55.266666666666666,3.933333333333333,12.466666666666667,13.833333333333334,19.6,14.2,23.566666666666666,13.433333333333334,18.266666666666666,8.033333333333333,2.4,17.533333333333335
0,3104.0,2010.0,29,-2.8620689655172415,11,18,64.13793103448276,24.724137931034484,62.10344827586207,4.344827586206897,14.724137931034482,10.344827586206897,16.79310344827586,14.482758620689655,25.93103448275862,13.10344827586207,19.17241379310345,7.379310344827586,2.9310344827586206,20.413793103448278
0,3105.0,2010.0,27,-3.962962962962963,14,13,60.77777777777778,20.37037037037037,50.851851851851855,3.037037037037037,9.88888888888889,17.0,24.333333333333332,13.666666666666666,23.37037037037037,9.74074074074074,25.037037037037038,8.777777777777779,5.148148148148148,19.14814814814815
0,3106.0,2010.0,29,-2.2758620689655173,12,17,55.13793103448276,18.448275862068964,53.0,2.689655172413793,9.586206896551724,15.551724137931034,24.0,15.0,24.75862068965517,11.482758620689655,20.103448275862068,8.03448275862069,4.482758620689655,22.06896551724138
0,3107.0,2010.0,30,-5.4,11,19,56.4,19.866666666666667,59.53333333333333,4.533333333333333,15.6,12.133333333333333,19.3,14.566666666666666,24.066666666666666,9.433333333333334,16.9,9.4,3.0,16.2
0,3108.0,2010.0,28,-9.928571428571429,8,20,60.357142857142854,20.75,60.714285714285715,4.321428571428571,14.535714285714286,14.535714285714286,23.071428571428573,14.714285714285714,18.964285714285715,10.571428571428571,20.535714285714285,11.464285714285714,1.1071428571428572,22.857142857142858
0,3110.0,2010.0,21,6.0476190476190474,13,8,60.42857142857143,21.571428571428573,53.904761904761905,4.666666666666667,15.285714285714286,12.619047619047619,16.80952380952381,12.904761904761905,23.19047619047619,11.476190476190476,15.19047619047619,7.9523809523809526,3.9047619047619047,14.571428571428571
0,3111.0,2010.0,31,2.5806451612903225,19,12,66.41935483870968,25.774193548387096,59.483870967741936,4.290322580645161,12.387096774193548,10.580645161290322,16.612903225806452,14.516129032258064,27.419354838709676,15.935483870967742,21.225806451612904,9.935483870967742,6.516129032258065,20.032258064516128
0,3112.0,2010.0,31,-1.096774193548387,14,17,65.41935483870968,23.903225806451612,56.935483870967744,4.870967741935484,15.67741935483871,12.741935483870968,18.64516129032258,12.03225806451613,26.258064516129032,12.0,18.225806451612904,7.32258064516129,2.967741935483871,15.516129032258064
